FECHA_MEDICION,LABORATORIO_COSTERO,ANOMALIA_TEMPERATURA
1972-01-12,ILO,-2.3137
1972-01-13,ILO,-1.8137
1972-01-14,ILO,-0.3137
1972-01-17,ILO,-2.1122
1972-01-18,ILO,-2.7788
1972-01-19,ILO,-2.8455
1972-01-20,ILO,-1.7455
1972-01-21,ILO,-0.6508
1972-01-24,ILO,0.5825
1972-01-25,ILO,1.5159
1972-01-26,ILO,-0.1776
1972-01-27,ILO,0.0557
1972-01-28,ILO,-1.411
1972-01-31,ILO,-2.1091
1972-02-01,ILO,0.6576
1972-02-02,ILO,1.6576
1972-02-03,ILO,1.8242
1972-02-04,ILO,1.2576
1972-02-05,ILO,3.1786
1972-02-08,ILO,3.512
1972-02-09,ILO,4.4786
1972-02-10,ILO,2.611
1972-02-11,ILO,0.5443
1972-02-14,ILO,-0.0224
1972-02-15,ILO,-1.9273
1972-02-16,ILO,-1.4273
1972-02-17,ILO,-0.9939
1972-02-18,ILO,-2.2939
1972-02-21,ILO,-1.875
1972-02-22,ILO,-1.175
1972-02-23,ILO,-2.8417
1972-02-24,ILO,-1.875
1972-02-25,ILO,-2.1989
1972-02-28,ILO,-2.6989
1972-02-29,ILO,-2.4322
1972-03-01,ILO,-2.5322
1972-03-02,ILO,-2.0816
1972-03-03,ILO,-2.7483
1972-03-06,ILO,-0.915
1972-03-07,ILO,-1.8136
1972-03-08,ILO,-2.2802
1972-03-09,ILO,-1.4802
1972-03-10,ILO,-1.8802
1972-03-13,ILO,-0.4584
1972-03-14,ILO,-1.2584
1972-03-15,ILO,-1.7584
1972-03-16,ILO,-1.2918
1972-03-17,ILO,-0.5676
1972-03-20,ILO,-1.1343
1972-03-21,ILO,0.199
1972-03-22,ILO,-0.7733
1972-03-23,ILO,-0.1733
1972-03-24,ILO,-0.9066
1972-03-27,ILO,-0.7427
1972-03-28,ILO,-0.2094
1972-03-29,ILO,0.1573
1972-03-30,ILO,0.0906
1972-04-03,ILO,-0.8929
1972-04-04,ILO,-2.0262
1972-04-05,ILO,0.0405
1972-04-06,ILO,0.6961
1972-04-07,ILO,-0.2373
1972-04-10,ILO,-0.4373
1972-04-11,ILO,-0.5438
1972-04-12,ILO,-1.6438
1972-04-13,ILO,-0.9438
1972-04-14,ILO,-1.7438
1972-04-17,ILO,0.3333
1972-04-18,ILO,0.7333
1972-04-19,ILO,0.4666
1972-04-20,ILO,-0.1
1972-04-21,ILO,-0.2417
1972-04-22,ILO,0.7583
1972-04-25,ILO,0.3583
1972-04-26,ILO,0.3202
1972-04-27,ILO,0.1202
1972-04-28,ILO,0.9202
1972-05-02,ILO,0.3767
1972-05-03,ILO,-1.4233
1972-05-04,ILO,0.81
1972-05-05,ILO,1.2433
1972-05-08,ILO,0.4233
1972-05-09,ILO,0.5233
1972-05-10,ILO,0.9567
1972-05-11,ILO,0.9688
1972-05-12,ILO,1.2021
1972-05-15,ILO,0.7021
1972-05-16,ILO,0.6425
1972-05-17,ILO,1.6092
1972-05-18,ILO,1.6425
1972-05-19,ILO,1.5758
1972-05-22,ILO,1.2075
1972-05-23,ILO,1.2075
1972-05-24,ILO,0.6075
1972-05-25,ILO,0.7075
1972-05-29,ILO,1.403
1972-05-30,ILO,1.2697
1972-05-31,ILO,0.6763
1972-06-01,ILO,0.7763
1972-06-02,ILO,1.0763
1972-06-05,ILO,1.0671
1972-06-06,ILO,1.1671
1972-06-07,ILO,0.4004
1972-06-08,ILO,0.5337
1972-06-09,ILO,1.2004
1972-06-12,ILO,1.8412
1972-06-13,ILO,2.4412
1972-06-14,ILO,2.2745
1972-06-15,ILO,2.1538
1972-06-16,ILO,1.6538
1972-06-19,ILO,1.5205
1972-06-20,ILO,2.1446
1972-06-21,ILO,1.6446
1972-06-22,ILO,1.4779
1972-06-23,ILO,1.5113
1972-06-26,ILO,1.8528
1972-06-27,ILO,1.5861
1972-06-28,ILO,1.6528
1972-06-30,ILO,1.52
1972-07-03,ILO,1.92
1972-07-04,ILO,1.7866
1972-07-05,ILO,1.9264
1972-07-06,ILO,2.4597
1972-07-07,ILO,1.3264
1972-07-10,ILO,1.8088
1972-07-11,ILO,1.4088
1972-07-12,ILO,1.3421
1972-07-13,ILO,1.1421
1972-07-14,ILO,1.3088
1972-07-17,ILO,1.5305
1972-07-18,ILO,1.4638
1972-07-19,ILO,1.4972
1972-07-20,ILO,1.5956
1972-07-21,ILO,1.1289
1972-07-24,ILO,1.1956
1972-07-25,ILO,1.4131
1972-07-26,ILO,1.5131
1972-07-27,ILO,1.4797
1972-07-31,ILO,1.9012
1972-08-01,ILO,1.4679
1972-08-02,ILO,2.2679
1972-08-03,ILO,2.1345
1972-08-04,ILO,2.3793
1972-08-07,ILO,2.3793
1972-08-08,ILO,2.2793
